País,Quantidade
Alemanha,2
Argentina,1
Austrália,1
Bangladesh,3
Brasil,8
Espanha,1
Estados Unidos,6
Filipinas,1
Finlândia,1
França,1
Grécia,1
Holanda,1
Indonésia,3
Irã,1
Malásia,7
Peru,2
Reino Unido,2
Taiwan,1
Turquia,1
Ucrânia,1
